GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
W00006237,273,136,137,272,1,0,8.52,32.04225352,49.81684982,50.18315018,99.63369963,0.366300366
W00006238,258,127,131,258,0,2,214.96,1.200223297,49.2248062,50.7751938,100,0
W00006239,198,94,104,198,0,0,4.08,48.52941176,47.47474747,52.52525253,100,0
W00006240,302,159,143,302,0,0,7.81,38.66837388,52.64900662,47.35099338,100,0
W00006241,301,148,153,301,0,4,7.68,39.19270833,49.16943522,50.83056478,100,0
W00006242,218,108,110,218,0,2,7.02,31.05413105,49.5412844,50.4587156,100,0
W00006243,262,123,139,262,0,1,7.96,32.91457286,46.94656489,53.05343511,100,0
W00006244,295,152,143,295,0,3,4.54,64.97797357,51.52542373,48.47457627,100,0
W00006245,277,132,145,277,0,0,6.58,42.09726444,47.6534296,52.3465704,100,0
W00006246,254,121,133,254,0,4,5.19,48.94026975,47.63779528,52.36220472,100,0
W00006247,218,111,107,218,0,1,335.05,0.650649157,50.91743119,49.08256881,100,0
W00006248,333,152,181,302,31,7,28.08,11.85897436,45.64564565,54.35435435,90.69069069,9.309309309
W00006249,285,145,140,285,0,2,22.84,12.47810858,50.87719298,49.12280702,100,0
W00006250,386,188,198,386,0,0,11.22,34.40285205,48.70466321,51.29533679,100,0
W00006251,259,126,133,259,0,2,4.76,54.41176471,48.64864865,51.35135135,100,0
W00006252,345,182,163,341,4,1,10.58,32.60869565,52.75362319,47.24637681,98.84057971,1.15942029
W00006253,283,143,140,283,0,3,231.36,1.223201936,50.53003534,49.46996466,100,0
W00006254,337,172,165,337,0,3,17.15,19.65014577,51.03857567,48.96142433,100,0
W00006255,359,163,196,359,0,9,6.84,52.48538012,45.40389972,54.59610028,100,0
W00006257,421,208,213,421,0,3,8.48,49.64622642,49.40617577,50.59382423,100,0
W00006259,288,141,147,288,0,2,12.39,23.24455206,48.95833333,51.04166667,100,0
W00006261,280,151,129,280,0,0,14.41,19.43095073,53.92857143,46.07142857,100,0
W00006262,213,100,113,213,0,1,4.89,43.55828221,46.94835681,53.05164319,100,0
W00006263,422,210,212,422,0,0,56.14,7.516921981,49.76303318,50.23696682,100,0
W00006264,346,176,170,346,0,3,6.17,56.07779579,50.86705202,49.13294798,100,0
W00006265,357,166,191,357,0,6,42.99,8.304256804,46.49859944,53.50140056,100,0
W00006266,205,94,111,205,0,3,74.48,2.752416756,45.85365854,54.14634146,100,0
W00006268,322,164,158,322,0,5,61.47,5.238327639,50.93167702,49.06832298,100,0
W00006269,407,199,208,407,0,11,7.43,54.77792732,48.89434889,51.10565111,100,0
W00006270,268,131,137,268,0,5,5.78,46.36678201,48.88059701,51.11940299,100,0
W00006271,262,128,134,262,0,4,8.23,31.83475091,48.85496183,51.14503817,100,0
W00006272,333,166,167,333,0,1,7.1,46.90140845,49.84984985,50.15015015,100,0
W00006273,436,214,222,436,0,5,13.37,32.61032162,49.08256881,50.91743119,100,0
W00006274,442,224,218,442,0,4,844.39,0.523454802,50.67873303,49.32126697,100,0
W00006275,364,165,199,364,0,2,12.33,29.5214923,45.32967033,54.67032967,100,0
W00006276,341,162,179,341,0,1,48.33,7.055659011,47.50733138,52.49266862,100,0
W00006277,231,119,112,231,0,1,5.23,44.16826004,51.51515152,48.48484848,100,0
W00006278,282,149,133,282,0,4,28.09,10.03915984,52.83687943,47.16312057,100,0
W00006279,465,229,236,465,0,1,47.59,9.770960286,49.24731183,50.75268817,100,0
W00006280,310,150,160,310,0,2,5.81,53.35628227,48.38709677,51.61290323,100,0
W00006281,315,162,153,315,0,1,5.61,56.14973262,51.42857143,48.57142857,100,0
W00006282,199,89,110,199,0,1,3.78,52.64550265,44.72361809,55.27638191,100,0
W00006283,436,206,230,436,0,0,7.56,57.67195767,47.24770642,52.75229358,100,0
W00006284,456,219,237,445,11,10,494.18,0.922740702,48.02631579,51.97368421,97.5877193,2.412280702
W00006286,291,136,155,291,0,4,5.52,52.7173913,46.73539519,53.26460481,100,0
W00006287,262,125,137,262,0,4,4.87,53.79876797,47.70992366,52.29007634,100,0
W00006289,269,128,141,269,0,0,42.7,6.299765808,47.58364312,52.41635688,100,0
W00006290,365,186,179,357,8,6,13.63,26.77916361,50.95890411,49.04109589,97.80821918,2.191780822
W00006291,294,137,157,293,1,1,542.64,0.541795666,46.59863946,53.40136054,99.65986395,0.340136054
W00006292,275,143,132,275,0,2,7.14,38.51540616,52,48,100,0
W00006293,295,147,148,295,0,8,18.93,15.58372953,49.83050847,50.16949153,100,0
W00006294,316,157,159,316,0,4,11.19,28.23949955,49.6835443,50.3164557,100,0
W00006295,333,167,166,333,0,3,77.89,4.275259982,50.15015015,49.84984985,100,0
W00006296,298,152,146,298,0,5,16.97,17.56040071,51.00671141,48.99328859,100,0
W00006297,296,145,151,296,0,5,7.71,38.39169909,48.98648649,51.01351351,100,0
W00006298,310,155,155,310,0,7,9.85,31.47208122,50,50,100,0
W00006299,300,135,165,300,0,2,4.74,63.29113924,45,55,100,0
W00006300,299,136,163,299,0,4,5.3,56.41509434,45.48494983,54.51505017,100,0
W00006301,322,165,157,322,0,8,217.79,1.478488452,51.24223602,48.75776398,100,0
W00006302,340,171,169,340,0,7,25.15,13.51888668,50.29411765,49.70588235,100,0
W00006303,328,162,166,311,17,0,8.82,37.18820862,49.3902439,50.6097561,94.81707317,5.182926829
W00006304,370,188,182,370,0,5,8.14,45.45454545,50.81081081,49.18918919,100,0
W00006305,335,167,168,335,0,5,7.63,43.90563565,49.85074627,50.14925373,100,0
W00006306,281,131,150,281,0,5,4.59,61.22004357,46.61921708,53.38078292,100,0
W00006307,281,135,146,281,0,2,44.43,6.324555481,48.04270463,51.95729537,100,0
W00006308,314,165,149,303,11,4,220.2,1.425976385,52.5477707,47.4522293,96.49681529,3.503184713
W00006309,311,163,148,311,0,0,27.41,11.34622401,52.41157556,47.58842444,100,0
W00006310,302,151,151,302,0,9,6.91,43.70477569,50,50,100,0
W00006311,294,151,143,294,0,6,6.81,43.17180617,51.36054422,48.63945578,100,0
W00006312,311,152,159,311,0,9,39.69,7.835726883,48.87459807,51.12540193,100,0
W00006313,235,117,118,235,0,4,55.53,4.231946695,49.78723404,50.21276596,100,0
W00006314,308,134,174,308,0,2,217.67,1.414985988,43.50649351,56.49350649,100,0
W00006315,341,164,177,341,0,9,43.47,7.844490453,48.09384164,51.90615836,100,0
W00006316,492,241,251,492,0,7,42.57,11.55743481,48.98373984,51.01626016,100,0
W00006317,305,140,165,305,0,0,4.3,70.93023256,45.90163934,54.09836066,100,0
W00006318,330,164,166,330,0,4,4.86,67.90123457,49.6969697,50.3030303,100,0
W00006319,341,167,174,335,6,1,62.85,5.425616547,48.97360704,51.02639296,98.24046921,1.759530792
W00006320,342,164,178,342,0,2,14.65,23.3447099,47.95321637,52.04678363,100,0
W00006321,320,151,169,320,0,0,11.06,28.93309222,47.1875,52.8125,100,0
W00006322,313,158,155,296,17,1,6.49,48.22804314,50.47923323,49.52076677,94.5686901,5.431309904
W00006323,264,137,127,264,0,6,23.03,11.46330873,51.89393939,48.10606061,100,0
W00006324,312,145,167,294,18,1,132.96,2.346570397,46.47435897,53.52564103,94.23076923,5.769230769
W00006325,355,170,185,355,0,0,7.31,48.56361149,47.88732394,52.11267606,100,0
W00006326,258,136,122,258,0,0,214.5,1.202797203,52.71317829,47.28682171,100,0
W00006327,311,152,159,311,0,0,54.49,5.70746926,48.87459807,51.12540193,100,0
W00006328,253,117,136,253,0,0,23.75,10.65263158,46.24505929,53.75494071,100,0
W00006329,294,143,151,294,0,1,47.52,6.186868687,48.63945578,51.36054422,100,0
W00006330,257,122,135,257,0,2,46.61,5.513838232,47.47081712,52.52918288,100,0
W00006331,265,126,139,265,0,0,9.71,27.29145211,47.54716981,52.45283019,100,0
W00006332,246,114,132,246,0,0,2.75,89.45454545,46.34146341,53.65853659,100,0
W00006333,262,140,122,262,0,2,625.88,0.418610596,53.4351145,46.5648855,100,0
W00006334,232,122,110,232,0,0,3.46,67.05202312,52.5862069,47.4137931,100,0
W00006335,261,130,131,261,0,0,7.69,33.94018205,49.80842912,50.19157088,100,0
W00006336,188,96,92,188,0,2,5.72,32.86713287,51.06382979,48.93617021,100,0
W00006337,333,161,172,333,0,0,19.93,16.70847968,48.34834835,51.65165165,100,0
W00006338,383,186,197,383,0,5,23.02,16.63770634,48.56396867,51.43603133,100,0
W00006339,362,170,192,362,0,2,5.29,68.43100189,46.96132597,53.03867403,100,0
W00006340,334,163,171,309,25,1,4.01,83.29177057,48.80239521,51.19760479,92.51497006,7.48502994
W00006341,292,139,153,292,0,2,126.56,2.307206068,47.60273973,52.39726027,100,0
W00006342,284,129,155,284,0,6,256.98,1.105144369,45.42253521,54.57746479,100,0
W00006343,274,143,131,274,0,2,142.36,1.924697949,52.18978102,47.81021898,100,0
W00006344,272,137,135,272,0,1,275.29,0.988048967,50.36764706,49.63235294,100,0
W00006345,408,197,211,408,0,3,13.49,30.24462565,48.28431373,51.71568627,100,0
W00006346,300,133,167,300,0,0,3.14,95.54140127,44.33333333,55.66666667,100,0
W00006347,295,138,157,295,0,0,12.44,23.71382637,46.77966102,53.22033898,100,0
W00006348,285,140,145,285,0,5,3.32,85.84337349,49.12280702,50.87719298,100,0
W00006349,319,146,173,319,0,0,4.23,75.41371158,45.76802508,54.23197492,100,0
W00006350,242,105,137,242,0,2,4.32,56.01851852,43.38842975,56.61157025,100,0
W00006351,380,186,194,331,49,1,102.1,3.721841332,48.94736842,51.05263158,87.10526316,12.89473684
W00006352,273,127,146,273,0,3,2.27,120.2643172,46.52014652,53.47985348,100,0
W00006353,308,136,172,308,0,6,26.05,11.82341651,44.15584416,55.84415584,100,0
W00006354,246,116,130,246,0,4,3.99,61.65413534,47.15447154,52.84552846,100,0
W00006355,383,177,206,383,0,1,5.62,68.14946619,46.21409922,53.78590078,100,0
W00006356,374,178,196,374,0,3,76.54,4.886333943,47.59358289,52.40641711,100,0
W00006357,284,142,142,273,11,0,9.76,29.09836066,50,50,96.12676056,3.873239437
W00006358,252,111,141,252,0,2,2.47,102.0242915,44.04761905,55.95238095,100,0
W00006359,289,156,133,289,0,3,5.51,52.45009074,53.97923875,46.02076125,100,0
