GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041482,278,139,139,278,0,4,38.64,7.194616977,50,50,100,0
E00041483,247,117,130,247,0,1,31.19,7.919204873,47.36842105,52.63157895,100,0
E00041484,300,148,152,300,0,4,303.12,0.989707047,49.33333333,50.66666667,100,0
E00041485,281,137,144,281,0,8,7.83,35.88761175,48.7544484,51.2455516,100,0
E00041486,290,140,150,290,0,6,26.43,10.97237987,48.27586207,51.72413793,100,0
E00041487,296,141,155,296,0,5,41.3,7.167070218,47.63513514,52.36486486,100,0
E00041488,235,101,134,235,0,2,11.67,20.13710368,42.9787234,57.0212766,100,0
E00041489,356,177,179,356,0,10,196.52,1.811520456,49.71910112,50.28089888,100,0
E00041490,321,157,164,321,0,3,3.88,82.73195876,48.90965732,51.09034268,100,0
E00041491,297,151,146,297,0,5,12.96,22.91666667,50.84175084,49.15824916,100,0
E00041492,289,132,157,289,0,3,6.22,46.46302251,45.67474048,54.32525952,100,0
E00041493,268,126,142,265,3,0,12.57,21.32060461,47.01492537,52.98507463,98.88059701,1.119402985
E00041494,285,128,157,285,0,0,11.8,24.15254237,44.9122807,55.0877193,100,0
E00041495,322,155,167,322,0,0,22.51,14.30475344,48.13664596,51.86335404,100,0
E00041496,275,132,143,275,0,1,9.56,28.76569038,48,52,100,0
E00041497,241,111,130,241,0,2,4.94,48.7854251,46.05809129,53.94190871,100,0
E00041498,428,204,224,428,0,6,109.18,3.920131892,47.6635514,52.3364486,100,0
E00041499,294,135,159,294,0,2,21.31,13.79633975,45.91836735,54.08163265,100,0
E00041500,255,134,121,255,0,2,3.72,68.5483871,52.54901961,47.45098039,100,0
E00041501,268,148,120,268,0,2,2.77,96.75090253,55.2238806,44.7761194,100,0
E00041502,258,139,119,258,0,4,4.24,60.8490566,53.87596899,46.12403101,100,0
E00041503,230,110,120,230,0,1,2.03,113.3004926,47.82608696,52.17391304,100,0
E00041504,296,148,148,296,0,0,12.06,24.54394693,50,50,100,0
E00041505,240,115,125,240,0,4,5.01,47.90419162,47.91666667,52.08333333,100,0
E00041506,361,162,199,323,38,2,9.7,37.21649485,44.87534626,55.12465374,89.47368421,10.52631579
E00041507,436,222,214,436,0,1,6.56,66.46341463,50.91743119,49.08256881,100,0
E00041508,247,115,132,247,0,4,3.38,73.07692308,46.55870445,53.44129555,100,0
E00041509,223,109,114,223,0,1,4.65,47.95698925,48.87892377,51.12107623,100,0
E00041510,263,131,132,263,0,5,6.6,39.84848485,49.80988593,50.19011407,100,0
E00041511,275,134,141,275,0,1,5.67,48.50088183,48.72727273,51.27272727,100,0
E00041512,334,164,170,294,40,4,6.77,49.33530281,49.10179641,50.89820359,88.0239521,11.9760479
E00041513,311,127,184,281,30,5,6.26,49.68051118,40.83601286,59.16398714,90.35369775,9.646302251
E00041514,277,135,142,277,0,3,3.63,76.30853994,48.73646209,51.26353791,100,0
E00041515,247,130,117,247,0,0,4.07,60.68796069,52.63157895,47.36842105,100,0
E00041516,301,144,157,301,0,2,5.84,51.54109589,47.84053156,52.15946844,100,0
E00041517,254,116,138,254,0,4,6.23,40.77046549,45.66929134,54.33070866,100,0
E00041518,292,147,145,292,0,6,6.44,45.34161491,50.34246575,49.65753425,100,0
E00041519,299,142,157,299,0,0,4.19,71.36038186,47.4916388,52.5083612,100,0
E00041520,343,147,196,343,0,0,4.63,74.08207343,42.85714286,57.14285714,100,0
E00041521,181,93,88,181,0,0,2.31,78.35497835,51.38121547,48.61878453,100,0
E00041522,317,157,160,317,0,0,4.24,74.76415094,49.52681388,50.47318612,100,0
